id,type,src,dst,app,latency,message,ctime,size,buffer
10,LINK,1,6,SimpleCase,7.0005,M.A,30.0,1000,6
11,LINK,2,7,SimpleCase,9.0005,M.A,30.0,1000,7
12,LINK,3,6,SimpleCase,8.0005,M.A,30.0,1000,8
10,LINK,6,4,SimpleCase,8.00075,M.B,37.00873802287451,750,5
9,LINK,5,4,SimpleCase,5.00075,M.B,38.00843802287451,750,4
12,LINK,6,4,SimpleCase,8.00075,M.B,38.00873802287451,750,5
11,LINK,7,4,SimpleCase,3.00075,M.B,39.00873802287451,750,5
13,LINK,0,5,SimpleCase,8.00018,M.A,40.0,900,6
14,LINK,1,6,SimpleCase,7.00045,M.A,40.0,900,7
15,LINK,2,7,SimpleCase,9.00045,M.A,40.0,900,8
16,LINK,3,6,SimpleCase,8.00045,M.A,40.0,900,9
17,LINK,0,5,SimpleCase,8.00018,M.A,50.0,900,2
18,LINK,1,7,SimpleCase,8.00045,M.A,50.0,900,3
19,LINK,2,6,SimpleCase,1.00045,M.A,50.0,900,4
20,LINK,3,6,SimpleCase,8.00045,M.A,50.0,900,5
14,LINK,6,4,SimpleCase,8.00075,M.B,50.82849550227945,750,6
13,LINK,5,4,SimpleCase,5.00075,M.B,51.82822550227945,750,6
15,LINK,7,4,SimpleCase,3.00075,M.B,52.82849550227945,750,7
16,LINK,6,4,SimpleCase,8.00075,M.B,54.656541004558896,750,8
19,LINK,6,4,SimpleCase,8.00075,M.B,58.48458650683836,750,3
20,LINK,6,4,SimpleCase,8.00075,M.B,58.48458650683836,750,4
21,LINK,0,5,SimpleCase,8.00018,M.A,60.0,900,5
22,LINK,1,7,SimpleCase,8.00018,M.A,60.0,900,6
23,LINK,2,6,SimpleCase,1.0001285714285717,M.A,60.0,900,7
24,LINK,3,6,SimpleCase,8.000128571428572,M.A,60.0,900,8
17,LINK,5,4,SimpleCase,5.00075,M.B,61.82822550227945,750,8
18,LINK,7,4,SimpleCase,3.00075,M.B,61.82849550227945,750,9
23,LINK,6,4,SimpleCase,8.00075,M.B,64.82817407370803,750,10
25,LINK,0,5,SimpleCase,8.00022,M.A,70.0,1100,5
26,LINK,1,7,SimpleCase,8.00022,M.A,70.0,1100,6
27,LINK,2,6,SimpleCase,1.000157142857143,M.A,70.0,1100,7
28,LINK,3,6,SimpleCase,8.000157142857143,M.A,70.0,1100,8
24,LINK,6,4,SimpleCase,8.00075,M.B,71.82817407370803,750,8
21,LINK,5,4,SimpleCase,5.00075,M.B,71.82822550227945,750,9
22,LINK,7,4,SimpleCase,3.00075,M.B,71.82822550227945,750,10
27,LINK,6,4,SimpleCase,8.00075,M.B,76.6134025708687,750,9
29,LINK,0,5,SimpleCase,8.00022,M.A,80.0,1100,6
30,LINK,1,7,SimpleCase,8.00022,M.A,80.0,1100,7
31,LINK,2,6,SimpleCase,1.000157142857143,M.A,80.0,1100,8
32,LINK,3,6,SimpleCase,8.000157142857143,M.A,80.0,1100,9
28,LINK,6,4,SimpleCase,8.00075,M.B,82.78538564001785,750,8
25,LINK,5,4,SimpleCase,5.00075,M.B,82.78544849716069,750,9
26,LINK,7,4,SimpleCase,3.00075,M.B,82.78544849716069,750,10
31,LINK,6,4,SimpleCase,8.00075,M.B,87.57061413717851,750,10
33,LINK,0,5,SimpleCase,8.000157142857143,M.A,90.0,1100,6
34,LINK,1,7,SimpleCase,8.00055,M.A,90.0,1100,7
35,LINK,2,6,SimpleCase,1.00022,M.A,90.0,1100,8
36,LINK,3,6,SimpleCase,8.00022,M.A,90.0,1100,9
32,LINK,6,4,SimpleCase,8.00075,M.B,92.78538564001785,750,9
29,LINK,5,4,SimpleCase,5.00075,M.B,92.78544849716069,750,10
30,LINK,7,4,SimpleCase,3.00075,M.B,92.78544849716069,750,11
35,LINK,6,4,SimpleCase,8.00075,M.B,97.57061413717851,750,10
1,LINK,0,5,SimpleCase,8.0005,M.A,10.0,1000,0
2,LINK,1,6,SimpleCase,7.0005,M.A,10.0,1000,1
3,LINK,2,7,SimpleCase,9.0005,M.A,10.0,1000,2
4,LINK,3,6,SimpleCase,8.0005,M.A,10.0,1000,3
2,LINK,6,4,SimpleCase,8.00075,M.B,17.00873802287451,750,3
1,LINK,5,4,SimpleCase,5.00075,M.B,18.008738022874514,750,2
4,LINK,6,4,SimpleCase,8.00075,M.B,18.008738022874514,750,3
3,LINK,7,4,SimpleCase,3.00075,M.B,19.008738022874514,750,3
5,LINK,0,5,SimpleCase,8.0005,M.A,20.0,1000,4
6,LINK,1,6,SimpleCase,7.0005,M.A,20.0,1000,5
7,LINK,2,7,SimpleCase,9.0005,M.A,20.0,1000,6
8,LINK,3,6,SimpleCase,8.0005,M.A,20.0,1000,7
6,LINK,6,4,SimpleCase,8.00075,M.B,27.008738022874514,750,4
5,LINK,5,4,SimpleCase,5.00075,M.B,28.008738022874518,750,3
8,LINK,6,4,SimpleCase,8.00075,M.B,28.008738022874518,750,4
7,LINK,7,4,SimpleCase,3.00075,M.B,29.008738022874518,750,4
9,LINK,0,5,SimpleCase,8.0002,M.A,30.0,1000,5
10,LINK,1,6,SimpleCase,7.0005,M.A,30.0,1000,6
11,LINK,2,7,SimpleCase,9.0005,M.A,30.0,1000,7
12,LINK,3,6,SimpleCase,8.0005,M.A,30.0,1000,8
10,LINK,6,4,SimpleCase,8.00075,M.B,37.00873802287451,750,5
9,LINK,5,4,SimpleCase,5.00075,M.B,38.00843802287451,750,4
12,LINK,6,4,SimpleCase,8.00075,M.B,38.00873802287451,750,5
11,LINK,7,4,SimpleCase,3.00075,M.B,39.00873802287451,750,5
13,LINK,0,5,SimpleCase,8.00018,M.A,40.0,900,6
14,LINK,1,6,SimpleCase,7.00045,M.A,40.0,900,7
15,LINK,2,7,SimpleCase,9.00045,M.A,40.0,900,8
16,LINK,3,6,SimpleCase,8.00045,M.A,40.0,900,9
17,LINK,0,5,SimpleCase,8.00018,M.A,50.0,900,2
18,LINK,1,7,SimpleCase,8.00045,M.A,50.0,900,3
19,LINK,2,6,SimpleCase,1.00045,M.A,50.0,900,4
20,LINK,3,6,SimpleCase,8.00045,M.A,50.0,900,5
14,LINK,6,4,SimpleCase,8.00075,M.B,50.82849550227945,750,6
13,LINK,5,4,SimpleCase,5.00075,M.B,51.82822550227945,750,6
15,LINK,7,4,SimpleCase,3.00075,M.B,52.82849550227945,750,7
16,LINK,6,4,SimpleCase,8.00075,M.B,54.656541004558896,750,8
19,LINK,6,4,SimpleCase,8.00075,M.B,58.48458650683836,750,3
20,LINK,6,4,SimpleCase,8.00075,M.B,58.48458650683836,750,4
21,LINK,0,5,SimpleCase,8.00018,M.A,60.0,900,5
22,LINK,1,7,SimpleCase,8.00018,M.A,60.0,900,6
23,LINK,2,6,SimpleCase,1.0001285714285717,M.A,60.0,900,7
24,LINK,3,6,SimpleCase,8.000128571428572,M.A,60.0,900,8
17,LINK,5,4,SimpleCase,5.00075,M.B,61.82822550227945,750,8
18,LINK,7,4,SimpleCase,3.00075,M.B,61.82849550227945,750,9
23,LINK,6,4,SimpleCase,8.00075,M.B,64.82817407370803,750,10
25,LINK,0,5,SimpleCase,8.00022,M.A,70.0,1100,5
26,LINK,1,7,SimpleCase,8.00022,M.A,70.0,1100,6
27,LINK,2,6,SimpleCase,1.000157142857143,M.A,70.0,1100,7
28,LINK,3,6,SimpleCase,8.000157142857143,M.A,70.0,1100,8
24,LINK,6,4,SimpleCase,8.00075,M.B,71.82817407370803,750,8
21,LINK,5,4,SimpleCase,5.00075,M.B,71.82822550227945,750,9
22,LINK,7,4,SimpleCase,3.00075,M.B,71.82822550227945,750,10
27,LINK,6,4,SimpleCase,8.00075,M.B,76.6134025708687,750,9
29,LINK,0,5,SimpleCase,8.00022,M.A,80.0,1100,6
30,LINK,1,7,SimpleCase,8.00022,M.A,80.0,1100,7
31,LINK,2,6,SimpleCase,1.000157142857143,M.A,80.0,1100,8
32,LINK,3,6,SimpleCase,8.000157142857143,M.A,80.0,1100,9
28,LINK,6,4,SimpleCase,8.00075,M.B,82.78538564001785,750,8
25,LINK,5,4,SimpleCase,5.00075,M.B,82.78544849716069,750,9
26,LINK,7,4,SimpleCase,3.00075,M.B,82.78544849716069,750,10
31,LINK,6,4,SimpleCase,8.00075,M.B,87.57061413717851,750,10
33,LINK,0,5,SimpleCase,8.000157142857143,M.A,90.0,1100,6
34,LINK,1,7,SimpleCase,8.00055,M.A,90.0,1100,7
35,LINK,2,6,SimpleCase,1.00022,M.A,90.0,1100,8
36,LINK,3,6,SimpleCase,8.00022,M.A,90.0,1100,9
32,LINK,6,4,SimpleCase,8.00075,M.B,92.78538564001785,750,9
29,LINK,5,4,SimpleCase,5.00075,M.B,92.78544849716069,750,10
30,LINK,7,4,SimpleCase,3.00075,M.B,92.78544849716069,750,11
35,LINK,6,4,SimpleCase,8.00075,M.B,97.57061413717851,750,10
1,LINK,0,5,SimpleCase,8.0005,M.A,10.0,1000,0
2,LINK,1,6,SimpleCase,7.0005,M.A,10.0,1000,1
3,LINK,2,7,SimpleCase,9.0005,M.A,10.0,1000,2
4,LINK,3,6,SimpleCase,8.0005,M.A,10.0,1000,3
2,LINK,6,4,SimpleCase,8.00075,M.B,17.00873802287451,750,3
1,LINK,5,4,SimpleCase,5.00075,M.B,18.008738022874514,750,2
4,LINK,6,4,SimpleCase,8.00075,M.B,18.008738022874514,750,3
3,LINK,7,4,SimpleCase,3.00075,M.B,19.008738022874514,750,3
5,LINK,0,5,SimpleCase,8.0005,M.A,20.0,1000,4
6,LINK,1,6,SimpleCase,7.0005,M.A,20.0,1000,5
7,LINK,2,7,SimpleCase,9.0005,M.A,20.0,1000,6
8,LINK,3,6,SimpleCase,8.0005,M.A,20.0,1000,7
6,LINK,6,4,SimpleCase,8.00075,M.B,27.008738022874514,750,4
5,LINK,5,4,SimpleCase,5.00075,M.B,28.008738022874518,750,3
8,LINK,6,4,SimpleCase,8.00075,M.B,28.008738022874518,750,4
7,LINK,7,4,SimpleCase,3.00075,M.B,29.008738022874518,750,4
9,LINK,0,5,SimpleCase,8.0002,M.A,30.0,1000,5
10,LINK,1,6,SimpleCase,7.0005,M.A,30.0,1000,6
11,LINK,2,7,SimpleCase,9.0005,M.A,30.0,1000,7
12,LINK,3,6,SimpleCase,8.0005,M.A,30.0,1000,8
10,LINK,6,4,SimpleCase,8.00075,M.B,37.00873802287451,750,5
9,LINK,5,4,SimpleCase,5.00075,M.B,38.00843802287451,750,4
12,LINK,6,4,SimpleCase,8.00075,M.B,38.00873802287451,750,5
11,LINK,7,4,SimpleCase,3.00075,M.B,39.00873802287451,750,5
13,LINK,0,5,SimpleCase,8.00018,M.A,40.0,900,6
14,LINK,1,6,SimpleCase,7.00045,M.A,40.0,900,7
15,LINK,2,7,SimpleCase,9.00045,M.A,40.0,900,8
16,LINK,3,6,SimpleCase,8.00045,M.A,40.0,900,9
17,LINK,0,5,SimpleCase,8.00018,M.A,50.0,900,2
18,LINK,1,7,SimpleCase,8.00045,M.A,50.0,900,3
19,LINK,2,6,SimpleCase,1.00045,M.A,50.0,900,4
20,LINK,3,6,SimpleCase,8.00045,M.A,50.0,900,5
14,LINK,6,4,SimpleCase,8.00075,M.B,50.82849550227945,750,6
13,LINK,5,4,SimpleCase,5.00075,M.B,51.82822550227945,750,6
15,LINK,7,4,SimpleCase,3.00075,M.B,52.82849550227945,750,7
16,LINK,6,4,SimpleCase,8.00075,M.B,54.656541004558896,750,8
19,LINK,6,4,SimpleCase,8.00075,M.B,58.48458650683836,750,3
20,LINK,6,4,SimpleCase,8.00075,M.B,58.48458650683836,750,4
21,LINK,0,5,SimpleCase,8.00018,M.A,60.0,900,5
22,LINK,1,7,SimpleCase,8.00018,M.A,60.0,900,6
23,LINK,2,6,SimpleCase,1.0001285714285717,M.A,60.0,900,7
24,LINK,3,6,SimpleCase,8.000128571428572,M.A,60.0,900,8
17,LINK,5,4,SimpleCase,5.00075,M.B,61.82822550227945,750,8
18,LINK,7,4,SimpleCase,3.00075,M.B,61.82849550227945,750,9
23,LINK,6,4,SimpleCase,8.00075,M.B,64.82817407370803,750,10
25,LINK,0,5,SimpleCase,8.00022,M.A,70.0,1100,5
26,LINK,1,7,SimpleCase,8.00022,M.A,70.0,1100,6
27,LINK,2,6,SimpleCase,1.000157142857143,M.A,70.0,1100,7
28,LINK,3,6,SimpleCase,8.000157142857143,M.A,70.0,1100,8
24,LINK,6,4,SimpleCase,8.00075,M.B,71.82817407370803,750,8
21,LINK,5,4,SimpleCase,5.00075,M.B,71.82822550227945,750,9
22,LINK,7,4,SimpleCase,3.00075,M.B,71.82822550227945,750,10
27,LINK,6,4,SimpleCase,8.00075,M.B,76.6134025708687,750,9
29,LINK,0,5,SimpleCase,8.00022,M.A,80.0,1100,6
30,LINK,1,7,SimpleCase,8.00022,M.A,80.0,1100,7
31,LINK,2,6,SimpleCase,1.000157142857143,M.A,80.0,1100,8
32,LINK,3,6,SimpleCase,8.000157142857143,M.A,80.0,1100,9
28,LINK,6,4,SimpleCase,8.00075,M.B,82.78538564001785,750,8
25,LINK,5,4,SimpleCase,5.00075,M.B,82.78544849716069,750,9
26,LINK,7,4,SimpleCase,3.00075,M.B,82.78544849716069,750,10
31,LINK,6,4,SimpleCase,8.00075,M.B,87.57061413717851,750,10
33,LINK,0,5,SimpleCase,8.000157142857143,M.A,90.0,1100,6
34,LINK,1,7,SimpleCase,8.00055,M.A,90.0,1100,7
35,LINK,2,6,SimpleCase,1.00022,M.A,90.0,1100,8
36,LINK,3,6,SimpleCase,8.00022,M.A,90.0,1100,9
32,LINK,6,4,SimpleCase,8.00075,M.B,92.78538564001785,750,9
29,LINK,5,4,SimpleCase,5.00075,M.B,92.78544849716069,750,10
30,LINK,7,4,SimpleCase,3.00075,M.B,92.78544849716069,750,11
35,LINK,6,4,SimpleCase,8.00075,M.B,97.57061413717851,750,10
1,LINK,0,5,SimpleCase,8.0005,M.A,10.0,1000,0
2,LINK,1,6,SimpleCase,7.0005,M.A,10.0,1000,1
3,LINK,2,7,SimpleCase,9.0005,M.A,10.0,1000,2
4,LINK,3,6,SimpleCase,8.0005,M.A,10.0,1000,3
2,LINK,6,4,SimpleCase,8.00075,M.B,17.00873802287451,750,3
1,LINK,5,4,SimpleCase,5.00075,M.B,18.008738022874514,750,2
4,LINK,6,4,SimpleCase,8.00075,M.B,18.008738022874514,750,3
3,LINK,7,4,SimpleCase,3.00075,M.B,19.008738022874514,750,3
5,LINK,0,5,SimpleCase,8.0005,M.A,20.0,1000,4
6,LINK,1,6,SimpleCase,7.0005,M.A,20.0,1000,5
7,LINK,2,7,SimpleCase,9.0005,M.A,20.0,1000,6
8,LINK,3,6,SimpleCase,8.0005,M.A,20.0,1000,7
6,LINK,6,4,SimpleCase,8.00075,M.B,27.008738022874514,750,4
5,LINK,5,4,SimpleCase,5.00075,M.B,28.008738022874518,750,3
8,LINK,6,4,SimpleCase,8.00075,M.B,28.008738022874518,750,4
7,LINK,7,4,SimpleCase,3.00075,M.B,29.008738022874518,750,4
9,LINK,0,5,SimpleCase,8.0002,M.A,30.0,1000,5
10,LINK,1,6,SimpleCase,7.0005,M.A,30.0,1000,6
11,LINK,2,7,SimpleCase,9.0005,M.A,30.0,1000,7
12,LINK,3,6,SimpleCase,8.0005,M.A,30.0,1000,8
10,LINK,6,4,SimpleCase,8.00075,M.B,37.00873802287451,750,5
9,LINK,5,4,SimpleCase,5.00075,M.B,38.00843802287451,750,4
12,LINK,6,4,SimpleCase,8.00075,M.B,38.00873802287451,750,5
11,LINK,7,4,SimpleCase,3.00075,M.B,39.00873802287451,750,5
13,LINK,0,5,SimpleCase,8.00018,M.A,40.0,900,6
14,LINK,1,6,SimpleCase,7.00045,M.A,40.0,900,7
15,LINK,2,7,SimpleCase,9.00045,M.A,40.0,900,8
16,LINK,3,6,SimpleCase,8.00045,M.A,40.0,900,9
17,LINK,0,5,SimpleCase,8.00018,M.A,50.0,900,2
18,LINK,1,7,SimpleCase,8.00045,M.A,50.0,900,3
19,LINK,2,6,SimpleCase,1.00045,M.A,50.0,900,4
20,LINK,3,6,SimpleCase,8.00045,M.A,50.0,900,5
14,LINK,6,4,SimpleCase,8.00075,M.B,50.82849550227945,750,6
13,LINK,5,4,SimpleCase,5.00075,M.B,51.82822550227945,750,6
15,LINK,7,4,SimpleCase,3.00075,M.B,52.82849550227945,750,7
16,LINK,6,4,SimpleCase,8.00075,M.B,54.656541004558896,750,8
19,LINK,6,4,SimpleCase,8.00075,M.B,58.48458650683836,750,3
20,LINK,6,4,SimpleCase,8.00075,M.B,58.48458650683836,750,4
21,LINK,0,5,SimpleCase,8.00018,M.A,60.0,900,5
22,LINK,1,7,SimpleCase,8.00018,M.A,60.0,900,6
23,LINK,2,6,SimpleCase,1.0001285714285717,M.A,60.0,900,7
24,LINK,3,6,SimpleCase,8.000128571428572,M.A,60.0,900,8
17,LINK,5,4,SimpleCase,5.00075,M.B,61.82822550227945,750,8
18,LINK,7,4,SimpleCase,3.00075,M.B,61.82849550227945,750,9
23,LINK,6,4,SimpleCase,8.00075,M.B,64.82817407370803,750,10
25,LINK,0,5,SimpleCase,8.00022,M.A,70.0,1100,5
26,LINK,1,7,SimpleCase,8.00022,M.A,70.0,1100,6
27,LINK,2,6,SimpleCase,1.000157142857143,M.A,70.0,1100,7
28,LINK,3,6,SimpleCase,8.000157142857143,M.A,70.0,1100,8
24,LINK,6,4,SimpleCase,8.00075,M.B,71.82817407370803,750,8
21,LINK,5,4,SimpleCase,5.00075,M.B,71.82822550227945,750,9
22,LINK,7,4,SimpleCase,3.00075,M.B,71.82822550227945,750,10
27,LINK,6,4,SimpleCase,8.00075,M.B,76.6134025708687,750,9
29,LINK,0,5,SimpleCase,8.00022,M.A,80.0,1100,6
30,LINK,1,7,SimpleCase,8.00022,M.A,80.0,1100,7
31,LINK,2,6,SimpleCase,1.000157142857143,M.A,80.0,1100,8
32,LINK,3,6,SimpleCase,8.000157142857143,M.A,80.0,1100,9
28,LINK,6,4,SimpleCase,8.00075,M.B,82.78538564001785,750,8
25,LINK,5,4,SimpleCase,5.00075,M.B,82.78544849716069,750,9
26,LINK,7,4,SimpleCase,3.00075,M.B,82.78544849716069,750,10
31,LINK,6,4,SimpleCase,8.00075,M.B,87.57061413717851,750,10
33,LINK,0,5,SimpleCase,8.000157142857143,M.A,90.0,1100,6
34,LINK,1,7,SimpleCase,8.00055,M.A,90.0,1100,7
35,LINK,2,6,SimpleCase,1.00022,M.A,90.0,1100,8
36,LINK,3,6,SimpleCase,8.00022,M.A,90.0,1100,9
32,LINK,6,4,SimpleCase,8.00075,M.B,92.78538564001785,750,9
29,LINK,5,4,SimpleCase,5.00075,M.B,92.78544849716069,750,10
30,LINK,7,4,SimpleCase,3.00075,M.B,92.78544849716069,750,11
35,LINK,6,4,SimpleCase,8.00075,M.B,97.57061413717851,750,10
1,LINK,0,5,SimpleCase,8.0005,M.A,10.0,1000,0
2,LINK,1,6,SimpleCase,7.0005,M.A,10.0,1000,1
3,LINK,2,7,SimpleCase,9.0005,M.A,10.0,1000,2
4,LINK,3,6,SimpleCase,8.0005,M.A,10.0,1000,3
2,LINK,6,4,SimpleCase,8.00075,M.B,17.00873802287451,750,3
1,LINK,5,4,SimpleCase,5.00075,M.B,18.008738022874514,750,2
4,LINK,6,4,SimpleCase,8.00075,M.B,18.008738022874514,750,3
3,LINK,7,4,SimpleCase,3.00075,M.B,19.008738022874514,750,3
5,LINK,0,5,SimpleCase,8.0005,M.A,20.0,1000,4
6,LINK,1,6,SimpleCase,7.0005,M.A,20.0,1000,5
7,LINK,2,7,SimpleCase,9.0005,M.A,20.0,1000,6
8,LINK,3,6,SimpleCase,8.0005,M.A,20.0,1000,7
6,LINK,6,4,SimpleCase,8.00075,M.B,27.008738022874514,750,4
5,LINK,5,4,SimpleCase,5.00075,M.B,28.008738022874518,750,3
8,LINK,6,4,SimpleCase,8.00075,M.B,28.008738022874518,750,4
7,LINK,7,4,SimpleCase,3.00075,M.B,29.008738022874518,750,4
9,LINK,0,5,SimpleCase,8.0002,M.A,30.0,1000,5
10,LINK,1,6,SimpleCase,7.0005,M.A,30.0,1000,6
11,LINK,2,7,SimpleCase,9.0005,M.A,30.0,1000,7
12,LINK,3,6,SimpleCase,8.0005,M.A,30.0,1000,8
10,LINK,6,4,SimpleCase,8.00075,M.B,37.00873802287451,750,5
9,LINK,5,4,SimpleCase,5.00075,M.B,38.00843802287451,750,4
12,LINK,6,4,SimpleCase,8.00075,M.B,38.00873802287451,750,5
11,LINK,7,4,SimpleCase,3.00075,M.B,39.00873802287451,750,5
13,LINK,0,5,SimpleCase,8.00018,M.A,40.0,900,6
14,LINK,1,6,SimpleCase,7.00045,M.A,40.0,900,7
15,LINK,2,7,SimpleCase,9.00045,M.A,40.0,900,8
16,LINK,3,6,SimpleCase,8.00045,M.A,40.0,900,9
17,LINK,0,5,SimpleCase,8.00018,M.A,50.0,900,2
18,LINK,1,7,SimpleCase,8.00045,M.A,50.0,900,3
19,LINK,2,6,SimpleCase,1.00045,M.A,50.0,900,4
20,LINK,3,6,SimpleCase,8.00045,M.A,50.0,900,5
14,LINK,6,4,SimpleCase,8.00075,M.B,50.82849550227945,750,6
13,LINK,5,4,SimpleCase,5.00075,M.B,51.82822550227945,750,6
15,LINK,7,4,SimpleCase,3.00075,M.B,52.82849550227945,750,7
16,LINK,6,4,SimpleCase,8.00075,M.B,54.656541004558896,750,8
